"strain","wbid"
"CHS 1153","WBGene00008249"
"CHS 1153","WBGene00008250"
"CHS 1153","WBGene00008251"
"CHS 1153","WBGene00011084"
"CHS 1153","WBGene00013375"
"CHS 1153","WBGene00015401"
"CHS 1153","WBGene00018180"
"CHS 1154","WBGene00006007"
"CHS 1154","WBGene00006008"
"CHS 1154","WBGene00006009"
"CHS 1154","WBGene00006010"
"CHS 1154","WBGene00006011"
"CHS 1154","WBGene00006012"
"CHS 1154","WBGene00006013"
"CHS 1155","WBGene00006098"
"CHS 1155","WBGene00006102"
"CHS 1155","WBGene00006103"
"CHS 1155","WBGene00006104"
"CHS 1155","WBGene00006105"
"CHS 1155","WBGene00006106"
"CHS 1156","WBGene00005831"
"CHS 1156","WBGene00005832"
"CHS 1156","WBGene00005833"
